"Spend_Science","Spend_Military","Spend_Unemployed","Spend_Medicare","Spend_Environment","Spend_World_Needy","Spend_Education","ID"
1,3,1,3,1,1,3,1
1,3,2,1,1,1,1,2
1,3,2,2,1,1,2,3
1,3,1,2,1,1,2,4
1,3,1,3,1,1,2,5
1,3,1,1,1,1,2,6
1,3,1,1,1,1,1,7
1,3,2,3,1,1,2,8
1,3,2,2,1,1,2,9
1,3,2,2,1,1,1,10
1,3,3,3,1,1,1,11
1,3,1,1,1,1,1,12
1,3,1,2,1,1,3,13
1,3,1,2,1,1,1,14
1,3,2,1,1,1,1,15
1,3,1,1,1,1,1,16
1,3,2,2,1,1,2,17
1,3,1,2,1,1,1,18
1,3,1,2,1,1,2,19
1,3,3,3,1,3,3,20
1,3,1,2,1,1,2,21
1,3,1,2,1,1,1,22
1,3,3,3,1,3,3,23
1,3,3,1,1,1,1,24
1,3,1,2,1,1,2,25
1,3,1,1,1,1,1,26
1,3,1,1,1,1,2,27
1,3,2,3,1,1,3,28
1,1,3,3,3,1,3,29
1,3,3,3,3,3,3,30
1,1,3,3,3,3,3,31
1,1,3,3,2,1,3,32
1,1,3,3,2,2,3,33
1,3,3,3,2,3,3,34
1,3,3,3,2,3,3,35
3,3,1,3,1,1,3,36
3,3,2,2,1,1,2,37
3,3,2,3,1,1,3,38
3,3,1,3,1,1,1,39
3,3,2,1,1,1,1,40
3,3,2,3,1,1,3,41
3,3,1,1,1,1,2,42
3,3,1,1,1,1,1,43
3,3,2,3,1,1,2,44
3,3,1,2,1,1,1,45
3,3,1,3,1,1,1,46
3,3,1,1,1,1,2,47
3,3,2,3,1,1,3,48
3,3,2,2,1,1,3,49
3,3,3,1,1,1,1,50
3,3,3,3,3,3,3,51
3,2,3,3,3,3,3,52
3,3,3,3,3,3,3,53
3,2,3,3,3,2,3,54
3,1,2,2,3,2,3,55
3,1,2,2,3,3,3,56
3,1,2,2,3,2,2,57
3,3,3,3,3,3,3,58
3,3,3,3,3,3,3,59
3,3,3,3,3,3,3,60
3,1,2,2,3,2,2,61
3,1,2,2,3,2,1,62
3,1,2,2,3,1,3,63
3,3,3,3,3,3,3,64
3,1,2,2,3,2,3,65
3,1,2,2,3,1,3,66
3,2,3,3,3,2,3,67
3,1,2,3,3,2,3,68
3,2,3,3,3,3,3,69
3,1,2,2,3,2,3,70
3,1,2,3,3,3,3,71
3,1,3,2,3,2,3,72
3,1,2,1,3,2,3,73
3,2,3,3,3,3,3,74
3,1,2,3,3,1,2,75
3,1,2,3,3,2,3,76
3,1,2,3,3,1,3,77
3,3,3,3,3,2,3,78
3,2,3,3,3,3,3,79
3,3,3,3,3,3,3,80
3,1,2,2,3,2,3,81
3,3,3,3,3,3,3,82
3,1,2,2,3,3,3,83
3,3,3,3,3,3,3,84
3,1,2,2,3,1,3,85
3,1,2,2,3,3,2,86
3,1,1,3,3,3,3,87
3,1,2,3,3,2,3,88
3,3,3,3,3,3,3,89
3,1,2,3,3,2,3,90
3,1,2,3,3,2,3,91
3,1,2,3,3,2,3,92
3,1,2,3,3,2,3,93
3,1,2,3,3,2,3,94
3,1,2,2,3,2,3,95
3,1,2,3,3,3,3,96
3,3,3,3,3,3,3,97
3,1,2,3,3,2,3,98
3,1,3,2,3,2,3,99
3,1,2,3,3,3,3,100
3,3,3,3,3,2,3,101
3,3,3,3,3,1,3,102
3,1,1,2,3,2,3,103
3,3,3,3,3,2,3,104
3,2,3,3,3,3,3,105
3,1,2,2,3,3,3,106
3,2,3,3,3,2,3,107
3,1,2,3,3,3,3,108
3,1,2,3,3,3,2,109
3,1,2,3,3,3,3,110
3,1,2,3,3,3,3,111
3,2,3,3,3,3,3,112
3,2,3,3,3,3,3,113
3,1,2,3,3,2,3,114
3,1,3,2,3,2,3,115
3,1,2,2,3,2,3,116
3,3,3,3,3,3,3,117
3,1,2,3,3,2,3,118
3,1,2,2,3,2,3,119
3,3,3,3,3,3,3,120
3,1,2,2,3,1,3,121
3,2,3,3,3,2,3,122
3,1,2,3,3,2,3,123
3,3,3,3,3,3,3,124
3,1,1,3,3,1,1,125
3,2,3,3,2,2,3,126
3,2,3,3,2,3,3,127
3,3,3,3,2,2,3,128
3,3,3,3,2,2,3,129
3,2,3,3,2,3,3,130
3,2,3,3,2,3,3,131
3,2,3,3,2,3,3,132
3,3,3,3,2,3,3,133
3,2,3,3,2,3,3,134
2,3,1,2,1,1,1,135
2,3,2,2,1,1,3,136
2,3,1,3,1,1,3,137
2,3,2,3,1,1,2,138
2,3,1,1,1,1,3,139
2,3,2,2,1,1,2,140
2,3,1,1,1,1,2,141
2,3,2,2,1,1,2,142
2,3,1,2,1,1,1,143
2,3,1,3,1,1,3,144
2,3,1,1,1,1,1,145
2,3,1,2,1,1,2,146
2,3,1,2,1,1,1,147
2,3,1,2,1,1,1,148
2,3,2,2,1,1,2,149
2,3,2,2,1,1,1,150
2,3,1,2,1,1,2,151
2,3,1,2,1,1,2,152
2,3,2,2,1,1,1,153
2,3,2,2,1,1,2,154
2,3,1,2,1,1,2,155
2,3,2,2,1,1,2,156
2,1,3,3,3,3,3,157
2,2,3,3,3,3,3,158
2,3,3,3,3,3,3,159
2,1,3,3,3,3,3,160
2,2,3,3,3,2,3,161
2,2,3,3,3,2,3,162
2,2,3,3,3,2,3,163
2,2,3,3,3,2,3,164
2,3,3,3,3,3,3,165
2,3,3,3,3,1,3,166
2,2,3,3,3,3,3,167
2,3,3,3,3,3,3,168
2,3,3,3,3,3,3,169
2,2,3,3,3,3,3,170
2,2,3,3,3,3,3,171
2,3,3,3,3,1,3,172
2,3,3,3,2,2,3,173
2,2,3,3,2,3,3,174
2,2,3,3,2,3,3,175
2,3,3,3,2,2,3,176
2,3,3,3,2,1,3,177
2,3,3,3,2,2,3,178
2,3,3,3,2,1,3,179
2,1,3,3,2,2,3,180
2,2,3,3,2,2,3,181
2,3,3,3,2,3,3,182
2,2,3,3,2,2,3,183
